__time,amount,coa.groupHead,coa.groupHeadName,coa.id,coa.majorHead,coa.majorHeadName,coa.minorHead,coa.minorHeadName,coa.objectHead,coa.objectHeadName,coa.subHead,coa.subHeadName,coa.subMajorHead,coa.subMajorHeadName,department.code,department.id,department.name,eventId,eventTime,eventType,expenditure.code,expenditure.id,expenditure.name,expenditure.type,fromBillingPeriod,government.id,government.name,id,project.code,project.departmentId,project.expenditureId,project.id,project.name,referenceId,tenantId,toBillingPeriod,version,departmentEntity.code,departmentEntity.name,departmentEntity.hierarchyLevel,departmentEntity.ancestry[0].code,departmentEntity.ancestry[0].name,departmentEntity.ancestry[0].hierarchyLevel,departmentEntity.ancestry[1].code,departmentEntity.ancestry[1].name,departmentEntity.ancestry[1].hierarchyLevel,departmentEntity.ancestry[2].code,departmentEntity.ancestry[2].name,departmentEntity.ancestry[2].hierarchyLevel,departmentEntity.ancestry[3].code,departmentEntity.ancestry[3].name,departmentEntity.ancestry[3].hierarchyLevel,departmentEntity.ancestry[4].code,departmentEntity.ancestry[4].name,departmentEntity.ancestry[4].hierarchyLevel,departmentEntity.ancestry[5].code,departmentEntity.ancestry[5].name,departmentEntity.ancestry[5].hierarchyLevel,departmentEntity.ancestry[6].code,departmentEntity.ancestry[6].name,departmentEntity.ancestry[6].hierarchyLevel,Total_Receipt,Total_Payment,Total_Bill,Total_Demand,Total_Expenditure,Total_Revenue,Fiscal_Position,Cash_Position
1629819812774,10234.5,78,groupHeadName,50cc5634-6cc3-456b-ae33-e40741128cde,8243,majorHeadName82,373,minorHeadName347,90,objectHeadName,56,subHeadName,12,subMajorHeadName,dept02,3d9ef18a-361a-40cf-b142-dd6f998e1ad3,departmentName-2,bd01d6f3-87aa-4f0e-88de-bf02a824b544,1629286294000,Bill,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1622907239000,pb,Punjab,b2f79fb2-cc2d-4fa0-9aa9-0060602edb56,PR3,3d9ef18a-361a-40cf-b142-dd6f998e1ad3,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,013e9c56-8207-4dac-9f4d-f1e20bd824e7,pb,1628177643000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629886490844,10234.5,78,groupHeadName,50cc5634-6cc3-456b-ae33-e40741128cde,8243,majorHeadName82,373,minorHeadName347,90,objectHeadName,56,subHeadName,12,subMajorHeadName,dept02,3d9ef18a-361a-40cf-b142-dd6f998e1ad3,departmentName-2,2a59c0f6-3031-45b8-a4a6-1c10345a7657,1629286294000,Bill,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1622907239000,pb,Punjab,51edb30b-43f2-464f-8af3-d1f1c64fc137,PR3,3d9ef18a-361a-40cf-b142-dd6f998e1ad3,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,013e9c56-8207-4dac-9f4d-f1e20bd824e7,pb,1628177643000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629894406962,10234.5,78,groupHeadName,50cc5634-6cc3-456b-ae33-e40741128cde,8243,majorHeadName82,373,minorHeadName347,90,objectHeadName,56,subHeadName,12,subMajorHeadName,,,,9482ad83-0041-469e-9bb6-f4e53cc56e37,1629286294000,Bill,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1622907239000,pb,Punjab,ea6a6b85-262a-442b-9833-ba80cff3262d,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,013e9c56-8207-4dac-9f4d-f1e20bd824e7,pb,1628177643000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,-50,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,e09fb9d5-1d91-43c2-8c58-ea075c5b4713,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,-50,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400001,pb,Punjab,deade998-18fc-49fb-bd7f-94cfa1e7107c,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399001,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,0,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,02f3edd0-b14f-48f4-94e7-7a672d7b97be,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,0,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,0bb26ac8-1218-49e3-b186-9df9add3f15b,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,0,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,b0423d83-2999-4430-86b2-5f0017b22f14,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,0,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,d592d80a-6f5b-474f-8d62-0a247658fc71,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,0,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,f708fb11-1be7-4f6e-9e00-c7b2cd8873f3,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,0,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400001,pb,Punjab,29d4d3e7-dc6a-4c94-b670-a50568d1865c,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399001,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,5,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400001,pb,Punjab,4e0f1711-4f2e-475a-b2eb-5f9350219e6d,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399001,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,25,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,fc65ba2b-f820-4548-91a2-923da65e7bd4,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,25,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400001,pb,Punjab,2ad34b36-0977-48b4-aea7-cae4957b94cd,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399001,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,50,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400001,pb,Punjab,c46936e2-f9d4-474f-ae94-ca28f0ace7d7,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399001,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,50,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400001,pb,Punjab,c4cee8d2-0182-4384-8d94-f8316b6cdf75,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399001,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,100,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400001,pb,Punjab,489b69d4-ad77-41f2-b1e5-0c351c72c62a,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399001,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,200,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400001,pb,Punjab,335633ad-007f-440d-a139-c0b9e63f943d,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399001,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976816574,500,0,,,0,,0,,0,,0,,0,,,,,7fa42338-d30a-4f4d-a669-c28ae2309c8d,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,be1d6121-9ad8-49c9-92fc-aeefa1ca7ef4,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976817077,-50,0,,,0,,0,,0,,0,,0,,,,,ff792adf-a3b1-4b79-92b7-697bc270ed2f,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,d163c7e3-5393-4768-8315-2fb48b62e61f,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976817077,-50,0,,,0,,0,,0,,0,,0,,,,,ff792adf-a3b1-4b79-92b7-697bc270ed2f,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400001,pb,Punjab,938cfc28-2345-42a0-aa47-af096396bb40,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399001,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976817077,0,0,,,0,,0,,0,,0,,0,,,,,ff792adf-a3b1-4b79-92b7-697bc270ed2f,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,19f736b1-96b7-4828-89b3-7a556d810890,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
1629976817077,0,0,,,0,,0,,0,,0,,0,,,,,ff792adf-a3b1-4b79-92b7-697bc270ed2f,0,Receipt,123,a4c21fc1-28df-494b-8983-baf3c6b027d7,Exp-2,NON_SCHEME,1617215400000,pb,Punjab,455f1a88-724f-4cd1-8e28-7ae1a9d71b90,PR3,,a4c21fc1-28df-494b-8983-baf3c6b027d7,3d9ef18a-361a-40cf-b142-dd6f998e1ac5,Project3,167fe9a2-d4a3-47e2-a211-1a30def5622c,pb,1648751399000,0.0.2,,,,,,,,,,,,,,,,,,,,,,,,,11970,0,40938,0,0,0,-40938,11970
