,Application ID,Application Status,Property Type,Property Sub Type,OnSite Sanitation Type,Door Number,Street Name,City,Pincode,Locality,District,State,Slum Name,Application Source,Desludging Entity,Longitude,Latitude,Geo Location Provided,Desludging Vehicle Number,Vehicle Type,Vehicle Capacity,Waste Collected,Waste Dumped,Vehicle In DateTime,Vehicle  Out DateTime,Fstp Plant Name,Payment Amount,Payment Status,Payment Source,Payment Instrument Type,Application Submitted Time,Pending payment Submitted Time,Assigned DSO Submitted Time,DSO Rejected Submitted Time,DSO Inprogress Submitted Time,Pending DSO Approval Submitted Time,Rejected Date Time,Cancelled Date Time,Citizen feedback Submitted Date Time,Application Completed Time,Rating,Scheduled Time,Waiting for disposalTime,Disposed Time,SLA Planned (In Days),SLA achieved
0,1013-FSM-2021-06-22-002917,Pending for DSO Approval,Commercial,Restaurant,N/A,N/A,N/A,Jalandhar,,Preet Nagar,Jalandhar,Punjab,Gangadhar Sahi,Telephone,Sparkle co,,,No,N/A,TATA LPT709/34,0,0,0,N/A,N/A,,4999,New,Counter,CASH,22/06/2021 15:38:47,22/06/2021 15:38:47,22/06/2021 15:40:08,N/A,N/A,22/06/2021 15:42:18,N/A,N/A,N/A,,,,,,2,N/A
1,1703-FSM-2021-06-22-002918,Citizen feedback pending,Commercial,Community toilets,N/A,N/A,N/A,Nawanshahr,,Bhucharran Mohaala - B1 - A1,Nawanshahr,Punjab,Kathagada Parbatia Sahi,Telephone,Srijeyam septic tank cleaning and toilet works,,,No,TS 09 PA 3586,TATA 407,1000,1000,2000,22/06/2021 14:03:00,22/06/2021 17:21:00,Mohali SeTPP,1880,New,Counter,CASH,22/06/2021 15:48:09,22/06/2021 15:48:09,22/06/2021 15:50:28,N/A,22/06/2021 16:21:37,22/06/2021 15:55:52,N/A,N/A,22/06/2021 16:21:42,,,,,,2,N/A
2,107-FSM-2021-04-14-000531,Pending for DSO Assignment,Residential,Row houses,N/A,HNo 12/2,Road No 7,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,9000,Deposited,Online,ONLINE,14/04/2021 06:59:37,14/04/2021 07:01:28,14/04/2021 07:59:50,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
3,107-FSM-2021-06-21-002907,Pending for DSO Assignment,Residential,Apartment,Conventional Spectic tank,999,M G road,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,Kathagada juanga sahi,Counter,N/A,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,1500,New,Counter,CASH,21/06/2021 14:01:35,21/06/2021 14:01:35,21/06/2021 14:03:18,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
4,107-FSM-2021-03-16-000251,Completed Request,Residential,Apartment,Septic tank with soak pit,N/A,N/A,Amritsar,143003,Back Side 66 KVA Grid Patiala Road - Area2,Amritsar,Punjab,,Online,Y.S.R Cleaners,74,31,Yes,TS 09 PA 2584,Bolero Pickup,5000,5000,2000,01/01/1970 05:30:00,16/03/2021 18:16:00,Amritsar FSTP,3200,New,Counter,CASH,16/03/2021 18:04:08,16/03/2021 18:12:51,16/03/2021 18:14:38,N/A,16/03/2021 18:16:11,16/03/2021 18:15:34,N/A,N/A,16/03/2021 18:16:14,16/03/2021 18:18:07,,,,,2,0.0
5,107-FSM-2021-06-10-002614,Pending for DSO Approval,Residential,Independent house,Septic tank with soak pit,20,2nd Street,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Telephone,DSO TATA1,,,No,N/A,TATA 407,0,0,0,N/A,N/A,,2220,New,Counter,CASH,08/01/2021 05:33:00,08/01/2021 05:33:00,08/01/2021 17:33:00,N/A,N/A,27/09/2021 10:24:21,N/A,N/A,N/A,,,,,,2,N/A
6,107-FSM-2021-02-12-217722,Cancelled,Residential,Apartment,Septic tank with soak pit,N/A,N/A,Amritsar,143001,Ajit Nagar - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,Bolero Pickup,0,0,0,N/A,N/A,,0,New,Counter,CASH,12/02/2021 12:25:14,12/02/2021 12:41:18,12/02/2021 12:46:39,N/A,N/A,N/A,N/A,15/02/2021 17:42:01,N/A,,,,,,2,N/A
7,107-FSM-2021-02-17-217972,Citizen feedback pending,Residential,Apartment,Conventional Spectic tank,second,first,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Counter,R.Vadivel septic tank cleaning services,,,No,TS 09 PA 2584,Bolero Pickup,5000,3000,2000,01/01/1970 05:30:00,04/03/2021 18:46:00,Amritsar FSTP,2000,New,Counter,CASH,17/02/2021 15:28:57,17/02/2021 15:28:57,17/02/2021 17:35:16,N/A,04/03/2021 16:12:47,17/02/2021 17:39:38,N/A,N/A,04/03/2021 16:17:23,,,,,,2,N/A
8,107-FSM-2021-06-17-002861,Completed Request,Residential,Apartment,N/A,N/A,N/A,Amritsar,,Back Side 33 KVA Grid Patiala Road - Area1,Amritsar,Punjab,Kathagada juanga sahi,Telephone,Ayyanar septic tank cleaning,,,No,TS 09 PA 2584,Bolero Pickup,5000,5000,5000,17/06/2021 10:02:00,17/06/2021 10:08:00,Amritsar FSTP,1500,New,Counter,CASH,17/06/2021 09:46:04,17/06/2021 09:46:04,17/06/2021 09:47:47,N/A,17/06/2021 09:57:03,17/06/2021 09:51:57,N/A,N/A,17/06/2021 09:57:24,24/08/2021 20:04:21,3,,,,2,68.0
9,107-FSM-2021-06-22-002916,Pending for DSO Assignment,Institutional,University,Conventional Spectic tank,N/A,N/A,Amritsar,,Bigharwal Chowk to Railway Station - Area2,Amritsar,Punjab,,Telephone,N/A,,,No,N/A,TATA 407,0,0,0,N/A,N/A,,2120,New,Counter,CASH,22/06/2021 15:18:43,22/06/2021 15:18:43,23/06/2021 08:30:07,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
10,107-FSM-2021-02-12-217706,DSO Inprogress,Residential,Independent house,Conventional Spectic tank,N/A,N/A,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Online,AGNR septic tank cleaning service,,,No,N/A,Sonalika Tractor 35DI,0,0,0,N/A,N/A,,0,New,Counter,CASH,12/02/2021 09:38:46,12/02/2021 10:31:25,16/02/2021 08:40:04,N/A,16/02/2021 10:44:18,16/02/2021 10:23:42,N/A,N/A,N/A,,,,,,2,N/A
11,107-FSM-2021-06-15-002781,Pending for DSO Assignment,Residential,Independent house,Septic tank with soak pit,N/A,N/A,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,TATA 407,0,0,0,N/A,N/A,,2220,Deposited,Counter,CARD,15/06/2021 16:15:28,15/06/2021 16:15:28,23/06/2021 09:41:35,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
12,107-FSM-2021-02-11-217596,DSO Inprogress,Commercial,Hotel,Conventional Spectic tank,N/A,N/A,Amritsar,143002,Back Side 33 KVA Grid Patiala Road - Area1,Amritsar,Punjab,,Online,AGNR septic tank cleaning service,,,No,N/A,Sonalika Tractor 35DI,0,0,0,N/A,N/A,,0,New,Counter,CASH,11/02/2021 16:10:00,11/02/2021 16:14:29,16/02/2021 08:41:55,N/A,16/02/2021 10:03:23,16/02/2021 08:46:28,N/A,N/A,N/A,,,,,,2,N/A
13,107-FSM-2021-06-15-002729,Pending for DSO Assignment,Residential,Independent house,Septic tank with soak pit,N/A,N/A,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,TATA 407,0,0,0,N/A,N/A,,2220,New,Counter,CASH,15/06/2021 15:27:28,15/06/2021 15:27:28,17/06/2021 10:06:49,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
14,107-FSM-2021-06-15-002780,Pending for DSO Assignment,Residential,Independent house,Septic tank with soak pit,N/A,N/A,Amritsar,,Ajit Nagar - Area1,Amritsar,Punjab,,Online,N/A,,,No,N/A,TATA 407,0,0,0,N/A,N/A,,2220,New,Counter,CASH,15/06/2021 16:15:21,15/06/2021 16:15:24,23/06/2021 09:41:47,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,2,N/A
